,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,Session_id,Customer_id,Location,License_id,Session_start_datetime,Session_end_datetime,duration,License_start_date,License_end_date
0,2020-01-25 23:46:12,cart,5921712,2115334439910245200,,,5.16,388018099,843d560b-2069-4a0d-68af-f767f5341312,480374496_65446,"[-7.1208, -34.5019]",5921712,2020-01-25 18:23:12,2020-01-26 05:19:12,656.0,2020-01-22 07:56:13,2020-02-27 05:38:51
1,2020-02-15 14:43:37,remove_from_cart,5921712,2115334439910245200,,,5.16,459659126,457cee31-cfd9-4f75-909d-64f17021da9d,552795963_171732,"[55.0342, 6.547499999999999]",5921712,2020-02-15 07:57:37,2020-02-15 15:52:37,475.0,2020-01-22 07:56:13,2020-02-27 05:38:51
2,2020-02-09 20:57:57,remove_from_cart,5921712,2115334439910245200,,,5.16,405986628,a4354a0c-f44a-484c-96b7-b319f81e99de,405986628_283400,"[20.6167, -96.1167]",5921712,2020-02-09 14:17:57,2020-02-10 02:48:57,751.0,2020-01-22 07:56:13,2020-02-27 05:38:51
3,2020-02-05 05:30:46,view,5921712,2115334439910245200,,,5.16,571731968,10ba57c9-187e-454a-b57c-cdc71388cbe5,610461263_109078,"[25.7206, 76.8472]",5921712,2020-02-04 21:41:46,2020-02-05 10:44:46,783.0,2020-01-22 07:56:13,2020-02-27 05:38:51
4,2020-01-28 07:17:14,cart,5921712,2115334439910245200,,,5.16,601508456,201af163-9d3f-45ae-9511-7f64d8e168c1,530951720_21726,"[55.268, 1.476]",5921712,2020-01-27 21:33:14,2020-01-28 14:48:14,1035.0,2020-01-22 07:56:13,2020-02-27 05:38:51
5,2020-02-06 18:10:38,remove_from_cart,5921712,2115334439910245200,,,0.0,497593427,6b408b88-8a2e-4e84-a1ea-2b5e23deaba7,497593427_57832,"[52.9344, 11.6661]",5921712,2020-02-06 11:36:38,2020-02-06 22:15:38,639.0,2020-01-22 07:56:13,2020-02-27 05:38:51
6,2020-02-01 17:23:03,view,5921712,2115334439910245200,,,5.16,527935037,b2ad0557-78dc-4097-96ed-3cf7dc043ed6,575560241_712976,"[52.2186, 7.1236]",5921712,2020-02-01 16:05:03,2020-02-01 22:09:03,364.0,2020-01-22 07:56:13,2020-02-27 05:38:51
7,2020-02-04 13:21:02,remove_from_cart,5921712,2115334439910245200,,,5.16,606335652,5c51e157-ccd1-f4c9-aae7-a90d66f911c7,606335652_611409,"[51.4301, 1.4301]",5921712,2020-02-04 11:07:02,2020-02-04 16:25:02,318.0,2020-01-22 07:56:13,2020-02-27 05:38:51
8,2020-01-25 23:46:23,view,5921712,2115334439910245200,,,5.16,388018099,843d560b-2069-4a0d-68af-f767f5341312,480374496_65446,"[-7.1208, -34.5019]",5921712,2020-01-25 19:00:23,2020-01-26 04:38:23,578.0,2020-01-22 07:56:13,2020-02-27 05:38:51
9,2020-02-03 15:32:26,purchase,5921712,2115334439910245200,,,5.16,606465952,4d0ce5a0-5a48-4a91-a3c1-fe8d008cca74,549711019_865858,"[33.6342, 52.3667]",5921712,2020-02-03 12:14:26,2020-02-03 20:23:26,489.0,2020-01-22 07:56:13,2020-02-27 05:38:51
10,2020-01-23 12:32:57,remove_from_cart,5921712,2115334439910245200,,,5.16,552886897,3b3d9472-7709-4715-bc7a-980e0324f263,570513286_153469,"[10.1333, 126.6167]",5921712,2020-01-23 10:01:57,2020-01-23 18:55:57,534.0,2020-01-22 07:56:13,2020-02-27 05:38:51
11,2020-02-18 08:22:02,cart,5921712,2115334439910245200,,,5.16,605158750,051d6fb4-df6c-4fba-afeb-7f851bbb70ae,605158750_96458,"[11.25, -85.8667]",5921712,2020-02-18 00:53:02,2020-02-18 08:59:02,486.0,2020-01-22 07:56:13,2020-02-27 05:38:51
12,2020-02-05 05:04:50,remove_from_cart,5921712,2115334439910245200,,,5.16,608065614,2e383846-9631-4bb1-9e5b-3fbd412b04b8,608065614_760047,"[47.8564, 6.547499999999999]",5921712,2020-02-05 02:04:50,2020-02-05 08:09:50,365.0,2020-01-22 07:56:13,2020-02-27 05:38:51
13,2020-02-03 14:35:27,cart,5921712,2115334439910245200,,,5.16,599255490,5eb5b25e-8d67-4e65-a980-97a0c752c67f,462411360_977665,"[48.9036, 9.1039]",5921712,2020-02-03 14:09:27,2020-02-03 19:28:27,319.0,2020-01-22 07:56:13,2020-02-27 05:38:51
14,2020-01-24 14:52:33,cart,5921712,2115334439910245200,,,5.16,605535159,2191d5ef-7306-4e6b-a3d0-2be7a4a76c4b,557633208_425578,"[18.4855, -65.8734]",5921712,2020-01-24 10:02:33,2020-01-24 19:51:33,589.0,2020-01-22 07:56:13,2020-02-27 05:38:51
15,2020-02-07 06:12:32,purchase,5921712,2115334439910245200,,,5.16,608065614,c78a1a0f-4430-4f56-a0db-97bd4b4dd8a4,608065614_760047,"[44.5404, 71.94]",5921712,2020-02-06 21:42:32,2020-02-07 15:02:32,1040.0,2020-01-22 07:56:13,2020-02-27 05:38:51
16,2020-01-23 11:06:42,view,5921712,2115334439910245200,,,5.16,605001286,7b5a959a-f924-4745-a6f7-586b5c951c6c,605001286_892522,"[9.8036, 1.4828000000000001]",5921712,2020-01-23 04:25:42,2020-01-23 14:22:42,597.0,2020-01-22 07:56:13,2020-02-27 05:38:51
17,2020-02-02 13:37:46,remove_from_cart,5921712,2115334439910245200,,,5.16,405986628,042c22a7-8c34-4eb3-bf47-fcffc0bf69c4,405986628_283400,"[48.2167, 13.4]",5921712,2020-02-02 06:27:46,2020-02-02 15:54:46,567.0,2020-01-22 07:56:13,2020-02-27 05:38:51
18,2020-01-28 13:25:30,view,5921712,2115334439910245200,,,5.16,543472373,5d797441-4705-4896-86b9-9ca4aaaf422c,543472373_341807,"[52.0267, 18.3117]",5921712,2020-01-28 12:44:30,2020-01-28 21:37:30,533.0,2020-01-22 07:56:13,2020-02-27 05:38:51
19,2020-02-07 02:46:46,cart,5921712,2115334439910245200,,,5.16,605344217,8d661899-3eab-4044-bbea-39ee26d4e3e3,370916507_215786,"[13.0078, 42.7411]",5921712,2020-02-07 00:46:46,2020-02-07 10:57:46,611.0,2020-01-22 07:56:13,2020-02-27 05:38:51
20,2020-01-28 13:24:42,view,5921712,2115334439910245200,,,5.16,543472373,5d797441-4705-4896-86b9-9ca4aaaf422c,543472373_341807,"[52.0267, 18.3117]",5921712,2020-01-28 05:39:42,2020-01-28 21:49:42,970.0,2020-01-22 07:56:13,2020-02-27 05:38:51
21,2020-01-28 20:59:04,view,5921712,2115334439910245200,,,5.16,551917875,8304dd4f-3c19-42d6-8c8e-a5d3604b8ceb,551917875_49497,"[57.545, -110.9008]",5921712,2020-01-28 17:49:04,2020-01-29 03:43:04,594.0,2020-01-22 07:56:13,2020-02-27 05:38:51
22,2020-02-01 10:41:10,cart,5921712,2115334439910245200,,,5.16,606335652,31888f14-a542-41d9-84f3-1a0b75fc3df9,606335652_611409,"[-22.0508, -42.5219]",5921712,2020-02-01 07:06:10,2020-02-01 19:02:10,716.0,2020-01-22 07:56:13,2020-02-27 05:38:51
23,2020-01-26 21:57:31,purchase,5921712,2115334439910245200,,,5.16,457271228,dc375f0f-3c60-4b3d-8c9b-0a266e452e8e,457271228_807720,"[36.55, 2.7167]",5921712,2020-01-26 13:51:31,2020-01-27 03:26:31,815.0,2020-01-22 07:56:13,2020-02-27 05:38:51
24,2020-02-14 18:22:21,remove_from_cart,5921712,2115334439910245200,,,5.16,435533428,ba51ff6b-ce7c-4593-a82d-580aa5f1e308,435533428_117368,"[15.9263, 125.4492]",5921712,2020-02-14 10:16:21,2020-02-15 00:57:21,881.0,2020-01-22 07:56:13,2020-02-27 05:38:51
25,2020-02-25 00:25:27,view,5921712,2115334439910245200,,,5.16,538030237,eb1f4c20-d005-4ce9-ade6-11e7b21b0171,504094466_80332,"[63.4167, 58.7833]",5921712,2020-02-24 19:09:27,2020-02-25 01:29:27,380.0,2020-01-22 07:56:13,2020-02-27 05:38:51
26,2020-01-22 17:17:13,view,5921712,2115334439910245200,,,0.0,559267958,1c39c39a-8cbb-4f59-86fa-8683392f2b4a,541258988_663962,"[6.7405, 25.78]",5921712,2020-01-22 07:56:13,2020-01-22 20:42:13,766.0,2020-01-22 07:56:13,2020-02-27 05:38:51
27,2020-02-01 05:42:14,remove_from_cart,5921712,2115334439910245200,,,5.16,508660625,fd35c5a0-21ae-4770-94c5-58496253de33,434412947_279638,"[53.2824, 73.3969]",5921712,2020-01-31 21:25:14,2020-02-01 12:24:14,899.0,2020-01-22 07:56:13,2020-02-27 05:38:51
28,2020-02-16 19:08:47,view,5921712,2115334439910245200,,,5.16,615950272,30bf4d46-21f2-474c-a4a1-2201e8382042,602741093_786573,"[45.4969, 44.8108]",5921712,2020-02-16 10:54:47,2020-02-17 02:45:47,951.0,2020-01-22 07:56:13,2020-02-27 05:38:51
29,2020-02-04 09:07:18,view,5921712,2115334439910245200,,,5.16,610234903,62b6d5fc-fe47-46be-8c8f-9741d890fcac,610234903_487146,"[42.0553, 0.0642]",5921712,2020-02-04 08:11:18,2020-02-04 14:02:18,351.0,2020-01-22 07:56:13,2020-02-27 05:38:51
30,2020-02-01 17:01:11,view,5921712,2115334439910245200,,,5.16,527935037,8b54504f-111a-43c3-ada5-cf82a593e9b3,575560241_712976,"[36.2878, -3.4328000000000003]",5921712,2020-02-01 15:35:11,2020-02-01 22:03:11,388.0,2020-01-22 07:56:13,2020-02-27 05:38:51
31,2020-01-26 21:51:30,cart,5921712,2115334439910245200,,,5.16,457271228,dc375f0f-3c60-4b3d-8c9b-0a266e452e8e,457271228_807720,"[36.55, 2.7167]",5921712,2020-01-26 18:27:30,2020-01-27 02:58:30,511.0,2020-01-22 07:56:13,2020-02-27 05:38:51
